Fecha,RF 0-1,RF 1-5,RF 5-10,RV
30/01/2004,100.71,101.89,103.04,9428.77
27/02/2004,100.87,101.72,102.23,9991.8
31/03/2004,101.56,102.94,103.79,10517.5
30/04/2004,101.92,101.37,99.38,9948.13
31/05/2004,102.32,100.42,96.91,10036.29
30/06/2004,102.83,99.97,95.85,10281.82
30/07/2004,103.46,101,97.88,10116.39
31/08/2004,104.14,102.1,98.98,10264.32
30/09/2004,104.77,102.33,99.63,10957.37
29/10/2004,105.38,103.5,100.94,11564.35
30/11/2004,106.08,103.87,100.52,12102.55
31/12/2004,106.93,105.66,104.13,12917.88
31/01/2005,107.58,105.92,106.24,13097.12
28/02/2005,108.22,105,104.24,13789.46
31/03/2005,108.99,104.82,102.53,12676.9
29/04/2005,109.8,105.31,102.76,12322.99
31/05/2005,110.87,108.07,108.7,12964.39
30/06/2005,111.77,109.76,111.04,13486.13
29/07/2005,112.62,110.46,111.5,14409.66
31/08/2005,113.69,112.78,115.97,14243.19
30/09/2005,114.65,114.55,118.48,16120.08
31/10/2005,115.5,115.09,117.5,15759.73
30/11/2005,116.44,116.48,120.31,16830.96
30/12/2005,117.38,118.28,123.33,17802.71
31/01/2006,118.29,119.71,124.76,18907.1
28/02/2006,119.04,120.96,127.87,18706.32
31/03/2006,119.79,120.5,124.38,19272.63
28/04/2006,120.54,121.46,124.98,20646.19
31/05/2006,121.29,120.92,122.19,18677.92
30/06/2006,122.03,122.45,124.18,19147.17
31/07/2006,122.82,124.36,128.64,20095.93
31/08/2006,123.59,125.8,130.82,21049.35
29/09/2006,124.28,126.38,131.4,21937.11
31/10/2006,125.1,127.57,134.24,23046.95
30/11/2006,125.86,128.79,136.56,24962.01
29/12/2006,126.6,129.69,139.5,26448.32
31/01/2007,127.38,129.03,136.71,27561.49
28/02/2007,128.1,129.55,137.09,26638.95
30/03/2007,128.93,131.65,141.33,28747.69
30/04/2007,129.64,131.75,140.83,28996.71
31/05/2007,130.48,132.87,142.8,31398.96
29/06/2007,131.25,133.51,142.66,31151.05
31/07/2007,132.1,134.35,143.47,30659.66
31/08/2007,132.94,135.18,144.03,30347.86
28/09/2007,133.68,135.9,144.33,30296.19
31/10/2007,134.55,136.65,145.21,31458.67
30/11/2007,135.38,137.22,145.66,29770.52
31/12/2007,136.25,137.82,145.34,29536.83
31/01/2008,137.18,140.58,150.44,28793.64
29/02/2008,138.02,141.67,152.57,28918.52
31/03/2008,138.9,142.81,154.13,30912.99
30/04/2008,139.7,141.7,150.77,30281.41
30/05/2008,140.58,142.25,150.16,31975.47
30/06/2008,141.36,140.71,143.71,29395.49
31/07/2008,142.25,141.85,146.43,27501.02
29/08/2008,143.24,143.97,151.45,26290.99
30/09/2008,144.33,145.68,152.84,24888.9
31/10/2008,145.49,145.92,150.25,20445.32
28/11/2008,146.26,146.43,149.46,20534.72
31/12/2008,147.44,150.85,160.05,22380.32
30/01/2009,148.76,153.81,163.19,19565.14
27/02/2009,149.4,152.32,157.55,17752.18
31/03/2009,150.8,157.65,166.1,19626.75
30/04/2009,151.83,159.96,168.35,21898.85
29/05/2009,152.68,160.99,167.47,24331.71
30/06/2009,153.45,161.54,166.9,24368.38
31/07/2009,154.17,162.92,169.5,27043.5
31/08/2009,154.81,162.99,168.97,28129.95
30/09/2009,155.36,163.91,171.94,29232.24
30/10/2009,156.02,165.08,172.51,28646.03
30/11/2009,156.71,166.27,174.82,30957.11
31/12/2009,157.33,166.67,175.32,32120.47
29/01/2010,157.96,168.87,178.05,30391.61
26/02/2010,158.54,170.41,181.41,31634.54
31/03/2010,159.23,171.89,183.46,33266.43
30/04/2010,159.89,173.28,185.91,32687.32
31/05/2010,160.52,175.7,190.13,32038.53
30/06/2010,161.15,176.77,193.66,31156.97
30/07/2010,161.77,178.5,198.85,32308.74
31/08/2010,162.45,179.91,202.6,31679.85
30/09/2010,163.11,181.16,205.25,33330.34
29/10/2010,163.79,182.59,207.51,35568.22
30/11/2010,164.38,181.75,201.18,36817.32
31/12/2010,164.99,181.87,200.02,38550.79
31/01/2011,165.74,182.12,198.58,36982.24
28/02/2011,166.32,182.36,196.4,37019.7
31/03/2011,166.92,182.37,197.17,37440.51
29/04/2011,167.55,184.92,202.54,36962.62
31/05/2011,168.25,186.86,207.59,35832.79
30/06/2011,168.9,188.02,208.09,36558.07
29/07/2011,169.6,190.51,214.22,35999.34
31/08/2011,170.35,194.35,223.68,35721.1
30/09/2011,170.91,194.01,218.97,33503.28
31/10/2011,171.58,195.73,224.48,36159.99
30/11/2011,172.21,196.38,225.12,36829.15
30/12/2011,172.76,195.69,222.22,37077.52
31/01/2012,173.48,198.61,231.13,37422.68
29/02/2012,174.1,198.38,228.24,37816.69
30/03/2012,174.75,199.5,229.63,39521.24
30/04/2012,175.43,200.83,232.59,39461
31/05/2012,176.07,201.9,235.39,37872.95
29/06/2012,176.74,203.26,243.61,40199.55
31/07/2012,177.43,204.25,246.92,40704.28
31/08/2012,178.14,204.46,245.59,39421.65
28/09/2012,178.74,205.41,247.18,40866.96
31/10/2012,179.41,205.38,246.46,41619.96
30/11/2012,180.13,206.6,247.74,41833.52
31/12/2012,180.88,207.56,249.74,43705.83
31/01/2013,181.6,210.57,255.37,45278.06
28/02/2013,182.28,211.75,256.97,44120.99
29/03/2013,182.92,212.84,259.38,44077.09
30/04/2013,183.73,216,268.04,42263.48
31/05/2013,184.26,214.52,256.07,41588.32
28/06/2013,184.77,214.24,250.69,40623.3
31/07/2013,185.43,215.79,250.73,40837.88
30/08/2013,186.05,215.48,246.93,39484.46
30/09/2013,186.85,219.19,253.97,40185.23
31/10/2013,187.48,219.38,255.69,41038.65
29/11/2013,188,220.62,254.84,42499.13
31/12/2013,188.61,220.72,252.83,42727.09
31/01/2014,189.16,221.76,252.03,40879.75
28/02/2014,189.74,223.16,257.85,38782.89
31/03/2014,190.33,224.6,261.15,40461.6
30/04/2014,190.86,225.28,262.65,40711.56
30/05/2014,191.42,227.17,269.2,41362.51
30/06/2014,192.31,230.38,272.72,42737.17
31/07/2014,192.8,230.64,271.68,43817.69
29/08/2014,193.29,231.51,274.55,45628.09
30/09/2014,193.76,229.86,270.08,44985.66
31/10/2014,194.26,232.19,274.27,45027.52
28/11/2014,194.72,233.82,277.97,44190.47
31/12/2014,195.25,233.39,276.41,43145.66
30/01/2015,195.78,237.03,287.97,40950.58
27/02/2015,196.15,235.11,282.65,44190.17
31/03/2015,196.62,235.34,279.79,43724.78
30/04/2015,197.28,236.63,281.08,44582.39
29/05/2015,197.78,237.59,281.55,44703.62
30/06/2015,198.34,238.81,282.11,45053.7
31/07/2015,198.84,239.3,284.04,44752.93
31/08/2015,199.31,239.81,285.16,43721.96
30/09/2015,199.98,242.09,286.92,42632.54
30/10/2015,200.56,243.44,289.32,44542.76
30/11/2015,201.09,243.95,289.37,43418.55
31/12/2015,201.65,244.78,289.69,42977.5
29/01/2016,202.2,247.39,295.93,43630.77
29/02/2016,202.52,245.97,295.05,43714.93
31/03/2016,203.27,247.83,298.75,45881.08
29/04/2016,203.96,249.46,301.56,45784.77
31/05/2016,204.5,248.42,298.22,45459.45
30/06/2016,205.16,249.64,302.83,45966.49
29/07/2016,205.76,248.99,303.17,46660.67
31/08/2016,206.64,250.54,306.68,47541.32
30/09/2016,207.16,250.06,304.25,47245.8
31/10/2016,208.05,250.58,302.3,48009.28
30/11/2016,208.4,246.41,287.61,45315.96
30/12/2016,209.34,245.66,285.93,45642.9
31/01/2017,210.33,247.89,288.92,47001.06
28/02/2017,211.36,248.77,290.64,46856.79
31/03/2017,212.49,251.25,297.54,48541.56
28/04/2017,213.51,251.9,296.95,49261.33
31/05/2017,214.63,251.67,296.19,48788.44
30/06/2017,215.96,256.57,306.81,49857.49
31/07/2017,217.22,257,307.23,51011.88
31/08/2017,218.52,258.35,309.45,51210.48
29/09/2017,219.78,260.13,311.6,50346.06
31/10/2017,221.08,259.66,306.89,48625.53
30/11/2017,222.36,260.68,307.9,47092.45
29/12/2017,223.51,259.09,302.56,49354.42
31/01/2018,224.97,261.65,306.04,50456.17
28/02/2018,226.18,262.77,307.04,47437.93
30/03/2018,227.54,266.44,314.5,46124.85
30/04/2018,229.15,267.47,313.9,48358.16
31/05/2018,230.54,266.62,309.64,44662.55
29/06/2018,231.89,268.27,314.48,47663.2
31/07/2018,233.48,269.52,314.21,49698.01
31/08/2018,235.07,270.95,314.1,49547.68
28/09/2018,236.52,273.32,316.57,49504.16
31/10/2018,237.98,270.1,303.62,43942.55
30/11/2018,239.54,271.76,302.03,41732.78
31/12/2018,241.17,274.74,310.99,41640.27
31/01/2019,243.05,278.59,318.19,43987.94
28/02/2019,244.64,281.58,323.96,42823.8
29/03/2019,246.25,284.68,328.45,43281.28
30/04/2019,247.94,285.78,329.33,44597.32
31/05/2019,249.59,287.89,332.89,42749.16
28/06/2019,251.28,292.66,343.86,43161.17
31/07/2019,253.16,295.42,347.21,40863.09
30/08/2019,255.12,300.02,357.97,42622.5
30/09/2019,256.96,303.28,362.36,43011.27
31/10/2019,258.55,306.27,366.75,43337.28
29/11/2019,260.06,305.31,362.19,42820.18
31/12/2019,261.78,307.88,368.33,43541.02
31/01/2020,263.57,311.22,375.26,44108.31
28/02/2020,265.07,312.07,372.45,41324.31
31/03/2020,267.02,316.35,371.93,34554.53
30/04/2020,269.03,325.33,388.2,36470.11
29/05/2020,270.51,327.7,397.91,36122.73
30/06/2020,272.08,333.2,408.19,37716.43
31/07/2020,273.37,334.41,411.06,37019.68
31/08/2020,274.51,335.6,410.98,36840.73
30/09/2020,275.66,337.23,412.94,37458.69
30/10/2020,276.63,337.81,410.4,36987.86
30/11/2020,277.62,340.86,422.42,41778.88
31/12/2020,278.71,343.56,430.68,44066.88
29/01/2021,279.74,346.1,434,42985.73
26/02/2021,280.73,345.28,422.32,44592.91
31/03/2021,281.51,340.46,409.68,47246.26
30/04/2021,282.56,342.12,409.72,48009.72
